"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-155 0.0901881048421802 4 10 "GO:0000139" "Golgi membrane" 0.521850001595925
37 0.165903623287906 3 130 "GO:0000151" "ubiquitin ligase complex" 0.566326641454855
-12 0.865838102117095 2 18 "GO:0000785" "chromatin" 0.927311093911592
-72 0.29086298102686 3 18 "GO:0000786;GO:0044815;GO:1990104;GO:0032993" "protein-DNA complex" 0.706381525350946
71 0.0561702216919102 1 64 "GO:0005576" "extracellular region" 0.477446884381237
10 0.882638766492748 2 19 "GO:0005578;GO:0031012;GO:0044421" "extracellular matrix" 0.927311093911592
-130 0.232722498850365 4 7 "GO:0005643;GO:0046930" "nuclear pore" 0.608658843147108
-148 0.208208324064285 4 6 "GO:0005663" "DNA replication factor C complex" 0.566326641454855
93 0.19920487817172 3 16 "GO:0005667" "transcription factor complex" 0.566326641454855
75 0.563798396336735 4 5 "GO:0005669" "transcription factor TFIID complex" 0.877098436246101
-150 0.169463437012844 4 7 "GO:0005677" "chromatin silencing complex" 0.566326641454855
-198 0.124321068025399 2 5 "GO:0005694" "chromosome" 0.566326641454855
-150 0.0717861854909572 2 12 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.488146061338509
-5 0.857753871703541 3 114 "GO:0005737" "cytoplasm" 0.927311093911592
-1 0.986780397695404 4 17 "GO:0005739" "mitochondrion" 0.986780397695404
-47 0.28174961576689 4 45 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.706381525350946
177 0.0656123828585568 3 9 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.488146061338509
-44 0.734724777320532 6 5 "GO:0005764" "lysosome" 0.927311093911592
-2 0.984684817510134 2 9 "GO:0005773;GO:0000323" "vacuole" 0.986780397695404
67 0.604452743697373 2 5 "GO:0005777" "peroxisome" 0.898776811985594
107 0.10753032823227 2 19 "GO:0005783" "endoplasmic reticulum" 0.562466332291874
270 0.0218528139873742 3 6 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.419781477661607
-167 0.196255542276222 4 5 "GO:0005789;GO:0098589" "endoplasmic reticulum membrane" 0.566326641454855
-41 0.731134089079656 -1 6 "GO:0005792" "microsome" 0.927311093911592
-105 0.305683360260085 3 8 "GO:0005834" "heterotrimeric G-protein complex" 0.716774775782268
-11 0.90003723820831 3 12 "GO:0005839" "proteasome core complex" 0.927311093911592
-9 0.786080714626108 3 79 "GO:0005840" "ribosome" 0.927311093911592
30 0.567534282276889 4 31 "GO:0005856" "cytoskeleton" 0.877098436246101
352 0.00123981282739211 3 7 "GO:0005862;GO:0044449" "contractile fiber part" 0.0843072722626635
-63 0.402429269896213 2 15 "GO:0005874" "microtubule" 0.76366278693371
-72 0.200055432180157 2 27 "GO:0005875" "microtubule associated complex" 0.566326641454855
61 0.607996078696137 2 6 "GO:0005884" "actin filament" 0.898776811985594
10 0.726319008146205 5 118 "GO:0005952;GO:1902554;GO:1902911;GO:1990234;GO:0005956" "transferase complex" 0.927311093911592
-89 0.168940010484571 3 20 "GO:0005954" "calcium- and calmodulin-dependent protein kinase complex" 0.566326641454855
8 0.870233200316385 2 35 "GO:0005963;GO:0008287;GO:0017023" "protein serine/threonine phosphatase complex" 0.927311093911592
-49 0.377939549984113 4 27 "GO:0008021;GO:0030136;GO:0030135;GO:0016023;GO:0031410;GO:0031988;GO:0031982" "clathrin-coated vesicle" 0.76366278693371
52 0.337292920053178 3 29 "GO:0008076;GO:0034705;GO:0034703;GO:0034702;GO:1902495;GO:1990351" "cation channel complex" 0.759689257695425
133 0.147261569359809 2 10 "GO:0008091;GO:0044448" "cell cortex part" 0.566326641454855
-17 0.894033600311081 2 5 "GO:0008250" "oligosaccharyltransferase complex" 0.927311093911592
75 0.525232264896737 2 6 "GO:0015629" "actin cytoskeleton" 0.871116927145808
-79 0.4097913333476 4 9 "GO:0016222" "procollagen-proline 4-dioxygenase complex" 0.76366278693371
-27 0.768550618046542 4 10 "GO:0016459" "myosin complex" 0.927311093911592
-88 0.187717453373825 2 19 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.566326641454855
13 0.812187546260046 3 28 "GO:0022625;GO:0015934" "large ribosomal subunit" 0.927311093911592
11 0.895246891582753 2 12 "GO:0022627;GO:0015935" "small ribosomal subunit" 0.927311093911592
15 0.84324041032795 4 14 "GO:0030125;GO:0030118;GO:0030120;GO:0030117;GO:0044433" "vesicle coat" 0.927311093911592
229 0.0518569725493837 3 6 "GO:0030173" "integral component of Golgi membrane" 0.477446884381237
-22 0.455075306454906 2 108 "GO:0030529" "ribonucleoprotein complex" 0.814345285235095
-85 0.469362167551524 2 6 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.818375061371888
-79 0.0381045523895902 2 60 "GO:0031090" "organelle membrane" 0.477391884448788
154 0.0920911767522221 2 10 "GO:0031301" "integral component of organelle membrane" 0.521850001595925
-59 0.646372757059465 3 5 "GO:0042555" "MCM complex" 0.915694739167575
28 0.798709807027322 2 7 "GO:0042579" "microbody" 0.927311093911592
-10 0.729216341910969 3 116 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 0.927311093911592
-56 0.207169298017853 3 44 "GO:0044427" "chromosomal part" 0.566326641454855
-45 0.346328926302326 3 37 "GO:0044428" "nuclear part" 0.759689257695425
-23 0.507779034008165 2 75 "GO:0044429" "mitochondrial part" 0.863224357813881
16 0.625141687207381 3 80 "GO:0044430" "cytoskeletal part" 0.904460313406424
50 0.415522398772754 2 22 "GO:0044431" "Golgi apparatus part" 0.76366278693371
-85 0.128377086530197 3 27 "GO:0044432" "endoplasmic reticulum part" 0.566326641454855
15 0.735650747249826 2 44 "GO:0044445;GO:0044391" "cytosolic part" 0.927311093911592
222 0.0209577425166212 3 9 "GO:0044451;GO:0090575;GO:0044798" "nuclear transcription factor complex" 0.419781477661607
-262 0.0421228133337166 3 5 "GO:0044455" "mitochondrial membrane part" 0.477391884448788
-27 0.551252405055043 1 43 "GO:0044456" "synapse part" 0.877098436246101
30 0.403906296363436 2 68 "GO:0044459" "plasma membrane part" 0.76366278693371
13 0.861355781925013 3 16 "GO:0045211;GO:0097060" "postsynaptic membrane" 0.927311093911592
-158 0.0246930280977416 3 17 "GO:0098588" "bounding membrane of organelle" 0.419781477661607
-61 0.415245363052655 3 15 "GO:1990204" "oxidoreductase complex" 0.76366278693371
