isogroup20045	Energy production and conversion
isogroup39469	Replication, recombination and repair
isogroup2660	Cell cycle control, cell division, chromosome partitioning
isogroup2660	Posttranslational modification, protein turnover, chaperones
isogroup39402	Posttranslational modification, protein turnover, chaperones
isogroup17080	Cell motility
isogroup7045	Signal transduction mechanisms
isogroup7328	Defense mechanisms
isogroup9034	Signal transduction mechanisms
isogroup12191	Signal transduction mechanisms
isogroup13448	Posttranslational modification, protein turnover, chaperones
isogroup3583	Translation, ribosomal structure and biogenesis
isogroup12694	Chromatin structure and dynamics
isogroup12694	Cell cycle control, cell division, chromosome partitioning
isogroup12866	Nucleotide transport and metabolism
isogroup12866	Inorganic ion transport and metabolism
isogroup21638	Transcription
isogroup7635	Intracellular trafficking, secretion, and vesicular transport
isogroup34392	RNA processing and modification 
isogroup20188	Cytoskeleton
isogroup2051	Amino acid transport and metabolism
isogroup30817	Transcription
isogroup30817	Replication, recombination and repair
isogroup21420	Posttranslational modification, protein turnover, chaperones
isogroup8123.1	Cell wall/membrane/envelope biogenesis
isogroup23065	Transcription
isogroup3032	Posttranslational modification, protein turnover, chaperones
isogroup4460	Nuclear structure
isogroup7370.1	Amino acid transport and metabolism
isogroup935	Transcription
isogroup9618	Posttranslational modification, protein turnover, chaperones
isogroup11715	RNA processing and modification 
isogroup5840	Translation, ribosomal structure and biogenesis
isogroup23319	Signal transduction mechanisms
isogroup12286	Signal transduction mechanisms
isogroup7017.1	Signal transduction mechanisms
isogroup33082	Replication, recombination and repair
isogroup33082	Cell cycle control, cell division, chromosome partitioning
isogroup2527	RNA processing and modification 
isogroup15015	Lipid transport and metabolism
isogroup9821	Replication, recombination and repair
isogroup3986	Signal transduction mechanisms
isogroup33216	RNA processing and modification 
isogroup21018	Secondary metabolites biosynthesis, transport and catabolism
isogroup18786	Amino acid transport and metabolism
isogroup13680	Posttranslational modification, protein turnover, chaperones
isogroup11831	Cell wall/membrane/envelope biogenesis
isogroup11831	Extracellular structures
isogroup13672	RNA processing and modification 
isogroup10925	Signal transduction mechanisms
isogroup10925	Cytoskeleton
isogroup24808	Posttranslational modification, protein turnover, chaperones
isogroup17791	Signal transduction mechanisms
isogroup13413	Signal transduction mechanisms
isogroup399	Cytoskeleton
isogroup43244	Intracellular trafficking, secretion, and vesicular transport
isogroup25041	Signal transduction mechanisms
isogroup12741	Amino acid transport and metabolism
isogroup12741	Lipid transport and metabolism
isogroup20022	Signal transduction mechanisms
isogroup26288	Signal transduction mechanisms
isogroup8949	RNA processing and modification 
isogroup23776	Signal transduction mechanisms
isogroup23776	Cytoskeleton
isogroup1238	Signal transduction mechanisms
isogroup41349	Signal transduction mechanisms
isogroup38753	Inorganic ion transport and metabolism
isogroup38490	Signal transduction mechanisms
isogroup4337	Intracellular trafficking, secretion, and vesicular transport
isogroup7432	Signal transduction mechanisms
isogroup7432	Extracellular structures
isogroup17515	Posttranslational modification, protein turnover, chaperones
isogroup20126	Signal transduction mechanisms
isogroup38097	Cytoskeleton
isogroup28712.1	Signal transduction mechanisms
isogroup28712.1	Inorganic ion transport and metabolism
isogroup38233	Posttranslational modification, protein turnover, chaperones
isogroup1616	Posttranslational modification, protein turnover, chaperones
isogroup6757	Amino acid transport and metabolism
isogroup9363	Extracellular structures
isogroup9132	Posttranslational modification, protein turnover, chaperones
isogroup15320	Signal transduction mechanisms
isogroup11504	Cell motility
isogroup8271	Signal transduction mechanisms
isogroup18954	Cytoskeleton
isogroup8930	Signal transduction mechanisms
isogroup10541	Translation, ribosomal structure and biogenesis
isogroup10541	RNA processing and modification 
isogroup33663	Posttranslational modification, protein turnover, chaperones
isogroup21658	Translation, ribosomal structure and biogenesis
isogroup14136	Posttranslational modification, protein turnover, chaperones
isogroup3339	Translation, ribosomal structure and biogenesis
isogroup11994	Transcription
isogroup20370	Signal transduction mechanisms
isogroup20370	Inorganic ion transport and metabolism
isogroup272	Secondary metabolites biosynthesis, transport and catabolism
isogroup24140	Signal transduction mechanisms
isogroup24140	Inorganic ion transport and metabolism
isogroup16891	Signal transduction mechanisms
isogroup20359	Posttranslational modification, protein turnover, chaperones
isogroup19548	Signal transduction mechanisms
isogroup1171	RNA processing and modification 
isogroup14910	Carbohydrate transport and metabolism
isogroup639	Cell motility
isogroup993	Extracellular structures
isogroup9805	Intracellular trafficking, secretion, and vesicular transport
isogroup9805	Posttranslational modification, protein turnover, chaperones
isogroup9805	Carbohydrate transport and metabolism
isogroup44720	Cell motility
isogroup13550	Secondary metabolites biosynthesis, transport and catabolism
isogroup12057	Intracellular trafficking, secretion, and vesicular transport
isogroup19541	Amino acid transport and metabolism
isogroup27480	Transcription
isogroup37458	Posttranslational modification, protein turnover, chaperones
isogroup2112	Signal transduction mechanisms
isogroup2882	RNA processing and modification 
isogroup10470	Intracellular trafficking, secretion, and vesicular transport
isogroup4207	Cell cycle control, cell division, chromosome partitioning
isogroup38145	RNA processing and modification 
isogroup7884	Posttranslational modification, protein turnover, chaperones
isogroup19665	Posttranslational modification, protein turnover, chaperones
isogroup26670	Extracellular structures
isogroup37438	Cytoskeleton
isogroup23518	Lipid transport and metabolism
isogroup19851	Signal transduction mechanisms
isogroup2819	Cytoskeleton
isogroup434	Nuclear structure
isogroup434	Intracellular trafficking, secretion, and vesicular transport
isogroup20449	Amino acid transport and metabolism
isogroup7541	Coenzyme transport and metabolism
isogroup1544	Lipid transport and metabolism
isogroup7954	Signal transduction mechanisms
isogroup18021	Amino acid transport and metabolism
isogroup22171	Amino acid transport and metabolism
isogroup9809	Cell cycle control, cell division, chromosome partitioning
isogroup13406	Carbohydrate transport and metabolism
isogroup13406	Amino acid transport and metabolism
isogroup6231	Inorganic ion transport and metabolism
isogroup18922	Signal transduction mechanisms
isogroup33443	Extracellular structures
isogroup17435	Coenzyme transport and metabolism
isogroup236	RNA processing and modification 
isogroup27841	Signal transduction mechanisms
isogroup27841	Cytoskeleton
isogroup11740	Translation, ribosomal structure and biogenesis
isogroup11287	Intracellular trafficking, secretion, and vesicular transport
isogroup8631	Chromatin structure and dynamics
isogroup33226	Extracellular structures
isogroup18503	Signal transduction mechanisms
isogroup20111	Carbohydrate transport and metabolism
isogroup9161	Posttranslational modification, protein turnover, chaperones
isogroup279	Cell wall/membrane/envelope biogenesis
isogroup44449	Cytoskeleton
isogroup24202	Cell wall/membrane/envelope biogenesis
isogroup42962	Signal transduction mechanisms
isogroup33870	Replication, recombination and repair
isogroup33870	Chromatin structure and dynamics
isogroup30236	Extracellular structures
isogroup18768	Signal transduction mechanisms
isogroup5832	Secondary metabolites biosynthesis, transport and catabolism
isogroup11191	Carbohydrate transport and metabolism
isogroup21011	Posttranslational modification, protein turnover, chaperones
isogroup11391	Amino acid transport and metabolism
isogroup25736	Replication, recombination and repair
isogroup25800	Posttranslational modification, protein turnover, chaperones
isogroup29022	Extracellular structures
isogroup17966	RNA processing and modification 
isogroup7143	Amino acid transport and metabolism
isogroup10856	Signal transduction mechanisms
isogroup3533	Signal transduction mechanisms
isogroup3533	Cytoskeleton
isogroup8530	Cytoskeleton
isogroup7593	Secondary metabolites biosynthesis, transport and catabolism
isogroup5162	Nucleotide transport and metabolism
isogroup1855	Signal transduction mechanisms
isogroup25114	Replication, recombination and repair
isogroup3136	Signal transduction mechanisms
isogroup1488	Signal transduction mechanisms
isogroup14648	Posttranslational modification, protein turnover, chaperones
isogroup20397	Signal transduction mechanisms
isogroup20397	Posttranslational modification, protein turnover, chaperones
isogroup3503	Signal transduction mechanisms
isogroup3503	Intracellular trafficking, secretion, and vesicular transport
isogroup45462	Cytoskeleton
isogroup1509	Cytoskeleton
isogroup23620	Intracellular trafficking, secretion, and vesicular transport
isogroup462	Transcription
isogroup18647	RNA processing and modification 
isogroup28455	Cell motility
isogroup3008	RNA processing and modification 
isogroup27746	Cytoskeleton
isogroup29580	Inorganic ion transport and metabolism
isogroup16233	Posttranslational modification, protein turnover, chaperones
isogroup19620	Replication, recombination and repair
isogroup3163	Intracellular trafficking, secretion, and vesicular transport
isogroup2834	Chromatin structure and dynamics
isogroup3114	Posttranslational modification, protein turnover, chaperones
