Amillepora_PRO.fas	Adigitifera_PRO.fas	Aelegantissima_PRO.fas	Ahyacinthus_PRO.fas	Apallida_PRO.fas	Apalmata_PRO.fas	Atenuis_PRO.fas	Fscutaria_PRO.fas	Mauretenra_PRO.fas	Mcavernosa_PRO.fas	Mfaveolata_PRO.fas	Nvectensis_PRO.fas	Pastreoides_PRO.fas	Pcarnosus_PRO.fas	Pdaedalea_PRO.fas	Pdamicornis_PRO.fas	Pstrigosa_PRO.fas	Shystrix_PRO.fas	Spistillata_PRO.fas	Ssiderea_PRO.fas
c024889	adi_EST_assem_1945	comp108578_c0_seq1	NA	Locus_65231_Transcript_1/1_Confidence_0.000_Length_4287	Contig_235	isotig10154	comp15844_c0_seq1	comp5984_c0_seq1	comp61629_c0_seq1	NA	jgi|Nemve1|175923|estExt_gwp.C_4980034	NA	Unigene67767_Mix_Normal_N	c12549_g1_i1	bu_91849.1_c19233	comp12211_c0_seq1	comp8973_c0_seq1	Spi_isotig08080	comp242799_c2_seq8
c014959	adi_EST_assem_1999	comp833_c21_seq65	NA	NA	Contig_17345	isotig10933	comp10749_c0_seq1	comp74172_c0_seq2	comp19248_c0_seq3	NA	jgi|Nemve1|141896|e_gw.616.1.1	isotig04537	Unigene81170_Mix_Normal_N	c39861_g1_i1	bu_91849.1_c18413	comp10776_c0_seq2	comp51065_c0_seq2	Spi_isotig06461	comp252149_c1_seq1
c015575	adi_EST_assem_3042	comp3781_c0_seq1	isotig04717	NA	Contig_4327	isotig03503	comp3068_c0_seq1	comp64938_c0_seq1	NA	CCHW3192.b1	jgi|Nemve1|166728|estExt_gwp.C_770095	isotig06309	Unigene18129_Mix_Normal_N	c14520_g1_i2	NA	comp2907_c0_seq1	comp3831_c2_seq4	Spi_isotig08255	comp229716_c0_seq1
c012785	adi_EST_assem_3368	comp961_c0_seq3	isotig04414	Locus_82457_Transcript_1/1_Confidence_0.000_Length_3041	Contig_6622	isotig14012	NA	NA	comp1716_c0_seq6	CCHW4495.b1	jgi|Nemve1|242285|estExt_fgenesh1_pg.C_610004	NA	Unigene17286_Mix_Normal_N	c16835_g1_i1	bu_91849.1_lrc24193	comp3935_c0_seq2	comp286_c0_seq1	Spi_isotig05692	NA
c026110	NA	NA	isotig05697	NA	Contig_17415	isotig13281	comp2140_c0_seq2	comp1157_c0_seq1	comp7441_c0_seq2	CCHW10636.g1	jgi|Nemve1|179589|estExt_GenewiseH_1.C_130196	isotig06720	Unigene135878_Mix_Normal_N	c7706_g1_i1	bu_91849.1_lrc53622	comp3636_c0_seq1	NA	Spi_isotig08907	comp219121_c1_seq2
c021385	adi_EST_assem_4825	comp162_c0_seq1	isotig05506	Locus_72983_Transcript_1/1_Confidence_0.000_Length_4366	Contig_21350	isotig12552	comp67_c0_seq3	NA	comp128_c0_seq1	JGI_AOSF1256.fwd	jgi|Nemve1|236834|estExt_fgenesh1_kg.C_580010	isotig05769	Unigene47242_Mix_Normal_N	c9885_g1_i1	NA	comp726_c0_seq1	comp50_c0_seq4	Spi_isotig08848	comp238080_c0_seq1
c023614	adi_EST_assem_6493	comp99708_c0_seq1	NA	Locus_36524_Transcript_1/2_Confidence_1.000_Length_2270	Contig_16412	NA	comp11483_c0_seq1	comp12719_c0_seq1	comp23391_c1_seq1	CCHW3690.b1	jgi|Nemve1|190101|estExt_GenewiseH_1.C_1600034	NA	Unigene67915_Mix_Normal_N	c16308_g1_i1	bu_91849.1_c7083	comp15802_c0_seq2	comp12386_c0_seq2	NA	comp245942_c0_seq26
c040684	adi_EST_assem_8650	comp1299_c0_seq71	NA	Locus_19856_Transcript_1/1_Confidence_1.000_Length_487	Contig_6674	NA	comp1653_c1_seq1	comp163_c0_seq1	comp5462_c0_seq1	CCHW3343.b1	jgi|Nemve1|169697|estExt_gwp.C_1310111	isotig16987	Unigene68777_Mix_Normal_N	c11192_g1_i2	NA	comp1104_c0_seq1	comp5235_c0_seq1	Spi_isotig13497	NA
c014849	adi_EST_assem_5091	comp4934_c0_seq1	isotig08009	NA	Contig_22431	isotig04433	comp1728_c0_seq1	comp1145_c0_seq1	comp10092_c0_seq1	CCHW2782.g1	jgi|Nemve1|170685|estExt_gwp.C_1540004	isotig13182	Unigene17687_Mix_Normal_N	c16408_g1_i1	NA	comp1420_c0_seq1	comp7580_c0_seq2	Spi_isotig13038	comp247120_c0_seq10
c017821	adi_EST_assem_4460	NA	NA	Locus_90696_Transcript_1/1_Confidence_0.000_Length_1270	NA	isotig09273	comp2225_c0_seq1	comp3026_c0_seq1	comp13504_c0_seq1	CCHW11425.b1	jgi|Nemve1|239961|estExt_fgenesh1_pg.C_220093	NA	Unigene33640_Mix_Normal_N	c16330_g1_i1	bu_91849.1_c26509	comp3546_c0_seq1	comp7353_c0_seq1	Spi_isotig07072	comp252634_c0_seq2
c018276	NA	NA	isotig02699	NA	Contig_1071	isotig14951	comp2680_c0_seq1	comp1989_c0_seq1	NA	CCHW16311.b1	jgi|Nemve1|238636|estExt_fgenesh1_pg.C_70083	isotig07787	Unigene68261_Mix_Normal_N	c14966_g1_i1	bu_91849.1_c20135	comp3816_c0_seq1	comp1456_c0_seq1	Spi_isotig09838	comp39642_c0_seq1
c033135	adi_EST_assem_4653	comp53097_c0_seq1	isotig08960	Locus_114705_Transcript_1/1_Confidence_0.000_Length_1709	Contig_35670	isotig20822	comp10347_c0_seq1	comp7272_c0_seq1	comp25367_c0_seq1	CCHW13767.b1	jgi|Nemve1|185016|estExt_GenewiseH_1.C_650041	GCKDGN101BPFAL	Unigene81107_Mix_Normal_N	c16209_g1_i2	NA	comp6166_c0_seq1	comp6659_c0_seq1	Spi_isotig08697	comp218892_c0_seq2
c025102	NA	comp15375_c0_seq1	NA	Locus_110949_Transcript_1/1_Confidence_0.000_Length_2297	Contig_1899	NA	comp3812_c0_seq1	comp4883_c0_seq2	comp49839_c1_seq2	NA	jgi|Nemve1|180603|estExt_GenewiseH_1.C_200237	isotig05479	Unigene9391_Mix_Normal_N	c13870_g1_i1	bu_91849.1_c19331	comp7907_c0_seq1	comp4902_c0_seq1	Spi_isotig08560	comp235540_c0_seq3
c035926	adi_EST_assem_10237	comp11958_c0_seq1	isotig09705	Locus_73050_Transcript_1/1_Confidence_0.000_Length_784	Contig_5768	isotig20676	comp4999_c0_seq5	comp704_c0_seq1	comp1277_c0_seq32	CCHW9352.b1	jgi|Nemve1|167466|estExt_gwp.C_880226	NA	Unigene7274_Mix_Normal_N	c13668_g1_i1	NA	comp6302_c0_seq1	comp1209_c32_seq127	Spi_isotig10748	NA
c005919p	adi_EST_assem_12592	NA	isotig01187	Locus_64626_Transcript_1/1_Confidence_0.000_Length_1316	Contig_10463	isotig11780	comp41745_c0_seq1	comp9295_c0_seq1	comp58535_c0_seq1	CCHW5762.g1	jgi|Nemve1|173499|estExt_gwp.C_2550025	NA	Unigene117081_Mix_Normal_N	c13195_g1_i1	NA	comp11956_c0_seq1	comp13049_c0_seq1	Spi_isotig11724	comp255178_c0_seq3
c015795	adi_EST_assem_7752	NA	NA	NA	Contig_26999	isotig29559	comp8715_c0_seq1	comp5418_c0_seq1	comp20381_c0_seq1	CCHW16174.b1	jgi|Nemve1|86522|e_gw.13.435.1	NA	Unigene144970_Mix_Normal_N	c12272_g1_i1	bu_91849.1_lrc17826	comp8548_c0_seq1	comp5142_c0_seq1	Spi_isotig06590	comp244437_c0_seq4
c021862	adi_EST_assem_2028	comp13758_c0_seq1	isotig13894	NA	Contig_246	isotig15145	comp21969_c0_seq1	comp7679_c0_seq1	comp2780_c1_seq1	CCHW6808.b1	jgi|Nemve1|165338|estExt_gwp.C_590022	isotig16425	Unigene125344_Mix_Normal_N	c16152_g1_i1	bu_91849.1_c7797	comp8087_c1_seq11	comp1485_c0_seq1	Spi_isotig05713	NA
