title                    	CAI	CBI	Fop	
isotig09765              	0.753	0.081	0.485	
isotig01446              	0.763	0.063	0.477	
isotig12578              	0.737	0.081	0.487	
isotig15553              	0.752	0.071	0.486	
isotig00230              	0.734	0.076	0.486	
isotig00231              	0.739	0.086	0.492	
isotig00235              	0.731	0.075	0.483	
c028086                  	0.793	0.413	0.682	
c011142                  	0.741	0.038	0.452	
c011147                  	0.795	0.263	0.570	
c011145                  	0.692	0.035	0.458	
c023528                  	0.726	0.004	0.444	
c023525                  	0.702	-0.047	0.399	
c023523                  	0.767	0.230	0.562	
c009047p                 	0.769	0.218	0.539	
c045198                  	0.749	0.158	0.520	
c044574                  	0.775	0.027	0.462	
c050292                  	0.657	0.161	0.512	
c003574                  	0.758	0.171	0.513	
c027333                  	0.800	0.170	0.528	
c003577                  	0.753	0.121	0.514	
c006313                  	0.750	0.058	0.473	
c050736                  	0.780	0.126	0.522	
c003573                  	0.756	0.048	0.468	
c003572                  	0.735	0.060	0.468	
c050731                  	0.708	-0.114	0.386	
c006318                  	0.767	0.085	0.486	
c051749                  	0.768	0.253	0.589	
c002446p                 	0.790	0.157	0.528	
c014469                  	0.773	-0.060	0.421	
c002446m                 	0.775	0.140	0.511	
c014092                  	0.741	0.038	0.458	
c014465                  	0.751	0.083	0.491	
c000325m                 	0.816	0.150	0.524	
c000325p                 	0.803	0.157	0.518	
c016318p                 	0.780	0.299	0.622	
c043734                  	0.761	0.197	0.550	
c020173                  	0.569	-0.195	0.294	
c020177                  	0.688	0.058	0.464	
c020175                  	0.744	0.039	0.481	
c017471                  	0.722	0.026	0.449	
c017470                  	0.795	0.120	0.517	
c011969                  	0.716	-0.049	0.401	
c011961                  	0.758	0.077	0.485	
c011963                  	0.778	0.090	0.482	
c011965                  	0.773	0.179	0.512	
c011967                  	0.727	0.068	0.466	
c012304                  	0.737	-0.088	0.394	
c012306                  	0.790	0.196	0.538	
c012300                  	0.752	0.137	0.519	
c012302                  	0.775	0.027	0.455	
c012309                  	0.754	0.101	0.490	
c046271                  	0.732	-0.188	0.328	
c046275                  	0.804	0.204	0.565	
c021593                  	0.745	0.112	0.508	
c021590                  	0.745	0.226	0.579	
c038233                  	0.757	0.303	0.611	
c021224                  	0.744	0.063	0.471	
c021223                  	0.675	0.019	0.441	
c021229                  	0.712	0.126	0.490	
c013632                  	0.739	-0.015	0.421	
c046854                  	0.694	0.102	0.476	
c046850                  	0.720	0.073	0.478	
c046859                  	0.797	0.014	0.425	
c015268                  	0.702	0.097	0.451	
c011149                  	0.791	0.248	0.566	
c007725p                 	0.820	0.216	0.557	
c011141                  	0.777	0.100	0.487	
c011146                  	0.800	0.230	0.555	
c011144                  	0.763	0.058	0.482	
c009646                  	0.793	0.165	0.528	
c011605                  	0.738	0.095	0.493	
c050295                  	0.751	0.050	0.489	
c050297                  	0.722	0.011	0.451	
c027334                  	0.818	0.062	0.487	
c027336                  	0.774	0.089	0.500	
c027332                  	0.807	0.249	0.587	
c015202p                 	0.560	-0.208	0.286	
c013332                  	0.765	0.130	0.512	
c003571                  	0.801	0.181	0.515	
c050734                  	0.741	0.233	0.556	
c015202m                 	0.772	-0.018	0.447	
c050732                  	0.767	-0.026	0.439	
c006319                  	0.757	0.075	0.482	
c011143                  	0.734	0.063	0.479	
c002812p                 	0.768	0.123	0.496	
c014468                  	0.725	-0.122	0.370	
c002812m                 	0.766	0.136	0.513	
c014462                  	0.770	0.129	0.481	
c014460                  	0.738	0.064	0.481	
c014466                  	0.830	0.402	0.657	
c014464                  	0.778	0.008	0.443	
c053283                  	0.798	0.113	0.500	
c011413                  	0.778	0.072	0.468	
c016318m                 	0.813	0.246	0.582	
c053288                  	0.770	0.207	0.529	
c000066                  	0.732	-0.015	0.427	
c020172                  	0.795	0.186	0.545	
c020176                  	0.796	0.169	0.536	
c001747m                 	0.742	0.065	0.471	
c011968                  	0.776	0.122	0.498	
c017472                  	0.772	0.255	0.588	
c011960                  	0.764	0.339	0.598	
c011962                  	0.735	0.067	0.471	
c011964                  	0.781	0.178	0.502	
c011966                  	0.753	0.125	0.512	
c012307                  	0.679	-0.068	0.417	
c012303                  	0.738	0.146	0.521	
c029625                  	0.716	0.010	0.448	
c021594                  	0.748	0.054	0.476	
c021592                  	0.786	0.144	0.503	
c047101                  	0.667	-0.038	0.393	
c047107                  	0.862	0.191	0.520	
c021225                  	0.747	0.049	0.471	
c021227                  	0.740	0.090	0.458	
c021220                  	0.798	-0.140	0.358	
c019379                  	0.750	0.028	0.412	
c015269                  	0.695	-0.255	0.316	
c041463                  	0.763	0.022	0.436	
c036382                  	0.744	0.046	0.461	
c036380                  	0.823	0.347	0.638	
c036384                  	0.706	0.111	0.491	
c021468                  	0.781	0.307	0.601	
c016357                  	0.753	-0.093	0.399	
c016355                  	0.758	0.076	0.468	
c009073m                 	0.783	0.216	0.566	
c001659p                 	0.733	0.031	0.459	
c039277                  	0.739	0.224	0.567	
c039274                  	0.749	0.102	0.507	
c039272                  	0.708	0.065	0.455	
c004794m                 	0.831	0.210	0.552	
c054504                  	0.744	-0.095	0.403	
c019993                  	0.768	0.085	0.498	
c019997                  	0.812	0.095	0.500	
c036566                  	0.683	-0.072	0.407	
c036562                  	0.740	0.132	0.496	
c036560                  	0.719	-0.056	0.406	
c026360                  	0.719	0.163	0.512	
c026365                  	0.807	0.128	0.519	
c030263                  	0.725	-0.054	0.412	
c033267                  	0.788	0.177	0.532	
c008513m                 	0.763	-0.048	0.429	
c040455                  	0.659	-0.105	0.386	
c038050                  	0.781	0.161	0.548	
c040458                  	0.738	0.054	0.482	
c002183                  	0.764	0.129	0.503	
c002181                  	0.684	-0.018	0.413	
c029595                  	0.692	-0.077	0.397	
c025405p                 	0.620	-0.238	0.258	
c038637                  	0.718	0.038	0.462	
c038633                  	0.772	0.083	0.490	
c024313                  	0.759	-0.121	0.397	
c024311                  	0.715	-0.034	0.420	
c024317                  	0.712	-0.087	0.400	
c005914                  	0.726	0.082	0.491	
c005910                  	0.754	0.116	0.491	
c005912                  	0.715	-0.073	0.392	
c006873                  	0.759	0.104	0.498	
c002585                  	0.737	0.029	0.443	
c002583                  	0.720	0.065	0.458	
c000088                  	0.748	0.058	0.462	
c006697                  	0.801	0.214	0.565	
c000089                  	0.716	-0.019	0.422	
c025049                  	0.784	0.228	0.567	
c006691                  	0.775	0.117	0.508	
c025047                  	0.747	0.095	0.494	
c025041                  	0.751	-0.032	0.439	
c025043                  	0.734	0.040	0.463	
c008017                  	0.743	0.108	0.475	
c008016                  	0.779	0.204	0.556	
c036175                  	0.719	-0.003	0.431	
c048847                  	0.707	0.016	0.447	
c000339p                 	0.820	0.158	0.528	
c028341                  	0.782	0.116	0.500	
c028343                  	0.772	0.250	0.592	
c028347                  	0.809	0.146	0.508	
c034630                  	0.752	0.178	0.542	
c034636                  	0.670	-0.178	0.339	
c000063                  	0.777	0.091	0.482	
c032676                  	0.720	0.047	0.473	
c032674                  	0.760	0.065	0.474	
c032672                  	0.735	0.002	0.430	
c003637                  	0.765	0.095	0.498	
c003635                  	0.745	0.090	0.479	
c003633                  	0.752	0.064	0.452	
c003631                  	0.774	0.134	0.514	
c003639                  	0.708	0.218	0.557	
c007524                  	0.744	0.083	0.483	
c007522                  	0.754	0.203	0.523	
c007520                  	0.773	0.263	0.592	
c012667                  	0.749	0.046	0.455	
c012665                  	0.654	-0.049	0.356	
c012663                  	0.774	-0.006	0.423	
c007528                  	0.764	0.124	0.510	
c019038                  	0.793	0.134	0.535	
c024889                  	0.785	0.123	0.513	
c024880                  	0.774	0.150	0.536	
c024884                  	0.810	0.010	0.451	
c002453                  	0.763	0.061	0.476	
c023053                  	0.731	-0.172	0.358	
c014959                  	0.801	0.156	0.519	
c029037                  	0.728	-0.088	0.399	
c004185                  	0.516	-0.291	0.200	
c004187                  	0.799	0.172	0.544	
c004189                  	0.745	0.006	0.443	
c018717m                 	0.786	0.097	0.489	
c000100p                 	0.755	0.033	0.455	
c006527                  	0.813	0.201	0.552	
c005589                  	0.689	-0.048	0.380	
c009002                  	0.835	0.172	0.545	
c005581                  	0.781	0.033	0.460	
c009006                  	0.796	0.035	0.463	
c009004                  	0.720	0.016	0.441	
c053505                  	0.800	0.028	0.458	
c053509                  	0.759	0.214	0.554	
c000856m                 	0.720	-0.023	0.405	
c041319                  	0.753	0.216	0.548	
c000423p                 	0.762	0.027	0.455	
c004553p                 	0.741	0.163	0.538	
c054913                  	0.775	0.037	0.464	
c020374                  	0.743	0.105	0.489	
