contig la lo p.values contigs.null isogroup adj.p
c000007 -24034.176576 -24054.719513 1.45685464212682e-10 c000007 isogroup=4 3.74083850732115e-07
c000010m -31911.720909 -31911.720909 1 c000010m isogroup=36 1
c000013p -20890.216805 -20891.53392 0.10458275360718 c000013p isogroup=144 0.769179842016042
c000017 -17698.248052 -17698.248052 1 c000017 isogroup=10 1
c000027 -18684.306995 -18686.027157 0.0636232147397458 c000027 isogroup=17 0.645725334577005
c000034m -5414.182546 -5414.703296 0.307472868056715 c000034m isogroup=3653 1
c000035 -49558.104378 -49562.915899 0.00192151195668627 c000035 isogroup=21 0.147282457515856
c000038 -45124.351812 -45127.370016 0.0140137690386656 c000038 isogroup=22 0.336200675398856
c000043p -6322.268559 -6322.329373 0.727275456152197 c000043p isogroup=6921 1
c000047 -19686.358385 -19687.727459 0.0979782592286353 c000047 isogroup=27 0.754768478930123
c000050 -30152.411022 -30152.295716 1 c000050 isogroup=28 1
c000058 -34988.628204 -34989.962173 0.102388600431905 c000058 isogroup=33 0.766247393375309
c000061m -8743.251006 -8743.251006 1 c000061m isogroup=2764 1
c000061p -15077.378382 -15077.378382 1 c000061p isogroup=244 1
c000074 -32665.030325 -32665.860586 0.197532859209875 c000074 isogroup=41 0.993565130727043
c000076p -12283.108492 -12287.071501 0.0048728920321229 c000076p isogroup=542 0.228536411241709
c000090 -14314.236907 -14314.24934 0.874701420813653 c000090 isogroup=52 1
c000091 -9435.094645 -9435.094645 1 c000091 isogroup=53 1
c000092 -8779.755491 -8782.448434 0.020300277206021 c000092 isogroup=54 0.400459167347355
c000093m -8517.745087 -8517.745087 1 c000093m isogroup=3338 1
c000100m -12167.796556 -12173.913965 0.000469059189911608 c000100m isogroup=990 0.0651041478321908
c000100p -12890.481573 -12890.481573 1 c000100p isogroup=753 1
c000105m -15271.021916 -15273.483795 0.0264898366139602 c000105m isogroup=72 0.450458794473485
c000106p -4450.213271 -4450.213271 1 c000106p isogroup=1585 1
c000109 -16494.677673 -16501.198097 0.000304770068100332 c000109 isogroup=65 0.0513162847452215
c000113 -7791.161113 -7791.452533 0.445201279743642 c000113 isogroup=70 1
c000118 -19604.456092 -19605.104452 0.254813223623622 c000118 isogroup=71 1
c000119 -30057.01433 -30059.335979 0.0311750367109467 c000119 isogroup=75 0.47529587783703
c000120p -5384.332536 -5384.332536 1 c000120p isogroup=1360 1
c000122m -9437.940569 -9437.940569 1 c000122m isogroup=1778 1
c000128 -24963.04309 -24963.04309 1 c000128 isogroup=80 1
c000136m -10687.769758 -10688.016171 0.482669391585559 c000136m isogroup=3759 1
c000136p -6222.443264 -6222.970153 0.304638581245673 c000136p isogroup=290.1 1
c000140 -36125.003304 -36126.685838 0.0665928348269168 c000140 isogroup=89 0.664028804889591
c000144m -6309.709544 -6309.709544 1 c000144m isogroup=638 1
c000148m -6526.986333 -6526.986333 1 c000148m isogroup=413 1
c000148p -2558.808512 -2558.808512 1 c000148p isogroup=19800 1
c000149m -19224.74606 -19227.660742 0.0157608204908938 c000149m isogroup=533 0.357419119713473
c000149p -4532.449803 -4533.694964 0.114548286571112 c000149p isogroup=10452 0.807667923624643
c000156 -13203.705471 -13203.705471 1 c000156 isogroup=95 1
c000157 -7797.197205 -7797.197205 1 c000157 isogroup=96 1
c000158p -4163.117592 -4163.117592 1 c000158p isogroup=10158 1
c000160 -13750.28558 -13750.362189 0.695478896889499 c000160 isogroup=98 1
c000162 -8496.908348 -8497.172796 0.467071374112995 c000162 isogroup=99 1
c000163 -32045.148706 -32049.380231 0.00362433596604451 c000163 isogroup=100 0.212717455469961
c000164 -23259.590466 -23260.371093 0.211481704992868 c000164 isogroup=101 1
c000166 -18432.073168 -18434.702516 0.0218373744802412 c000166 isogroup=97 0.4156583291944
c000167 -19238.473933 -19238.473933 1 c000167 isogroup=102 1
c000169m -3129.465295 -3129.465295 1 c000169m isogroup=19369 1
c000171 -14316.274159 -14316.274159 1 c000171 isogroup=10 1
c000174 -9059.128987 -9059.270099 0.595247219791746 c000174 isogroup=103 1
c000177 -16507.256563 -16507.256563 1 c000177 isogroup=106 1
c000180 -26980.537523 -26992.587678 9.14455743617953e-07 c000180 isogroup=107 0.000785064632796814
c000181 -28964.338416 -28964.338416 1 c000181 isogroup=109 1
c000192 -15521.053151 -15521.053151 1 c000192 isogroup=114 1
c000194m -6081.466825 -6084.49231 0.0138986595823942 c000194m isogroup=1471 0.336200675398856
c000197 -35275.760375 -35275.760375 1 c000197 isogroup=118 1
c000198m -11134.873328 -11134.873328 1 c000198m isogroup=1044 1
c000202 -17826.311719 -17826.311719 1 c000202 isogroup=119 1
c000203 -33271.220528 -33271.220528 1 c000203 isogroup=120 1
c000205 -11180.743662 -11180.78749 0.767178487435571 c000205 isogroup=121 1
c000206 -11334.099087 -11334.099087 1 c000206 isogroup=124 1
c000207 -26077.390358 -26077.413078 0.831197017689985 c000207 isogroup=123 1
c000210 -8668.714356 -8668.343513 1 c000210 isogroup=125 1
c000212m -2307.727341 -2307.727341 1 c000212m isogroup=13377 1
c000214 -15405.623756 -15405.623756 1 c000214 isogroup=127 1
c000215 -8218.274677 -8218.429951 0.577344105206284 c000215 isogroup=125 1
c000221 -5232.220685 -5232.221137 0.9760139437911 c000221 isogroup=105 1
c000233 -24061.746439 -24061.746438 1 c000233 isogroup=136 1
c000234m -9497.559666 -9497.992148 0.352353269669548 c000234m isogroup=4899 1
c000235p -8741.48751 -8741.7763 0.447262450046944 c000235p isogroup=1112 1
c000238p -5515.923793 -5516.462578 0.299241800244136 c000238p isogroup=5520 1
c000242m -22872.111451 -22872.111451 1 c000242m isogroup=944 1
c000243m -7927.824696 -7927.824696 1 c000243m isogroup=4366 1
c000243p -12446.017707 -12446.017707 1 c000243p isogroup=1747 1
c000244p -13735.718683 -13735.718683 1 c000244p isogroup=1206 1
c000245p -8592.256765 -8593.582742 0.103422698451874 c000245p isogroup=6146 0.766955352129266
c000247m -12220.348645 -12220.348645 1 c000247m isogroup=2442 1
c000247p -7984.652023 -7985.403587 0.220190694629816 c000247p isogroup=3245 1
c000248 -22454.884286 -22454.884286 1 c000248 isogroup=140 1
c000252 -27860.63876 -27860.862651 0.503390133435018 c000252 isogroup=143 1
c000254p -4552.691526 -4553.257483 0.287367447206893 c000254p isogroup=9301 1
c000255 -5812.163194 -5812.163194 1 c000255 isogroup=145 1
c000256p -4858.530709 -4860.335882 0.0574211719665348 c000256p isogroup=678 0.619509303853234
c000260m -4077.506905 -4078.355983 0.192529308756951 c000260m isogroup=11799 0.984304893102361
c000267 -27068.128401 -27068.128401 1 c000267 isogroup=149 1
c000268 -13981.982321 -13985.478638 0.00818458220686784 c000268 isogroup=150 0.278357098830264
c000279 -9292.642035 -9292.642035 1 c000279 isogroup=154 1
c000289 -1575.241755 -1575.833754 0.27654358262054 c000289 isogroup=161 1
c000290 -11117.489546 -11117.820733 0.415723081037607 c000290 isogroup=162 1
c000297 -12772.397024 -12774.668414 0.0330578627829337 c000297 isogroup=158 0.488542890134549
c000302 -15164.206313 -15164.206313 1 c000302 isogroup=169 1
c000304 -14103.274041 -14103.274041 1 c000304 isogroup=168 1
c000308 -16737.816533 -16737.834492 0.849684930741941 c000308 isogroup=175 1
c000310 -21380.591913 -21380.591913 1 c000310 isogroup=177 1
c000313 -16129.675732 -16129.675732 1 c000313 isogroup=180 1
c000316m -1487.596088 -1487.596088 1 c000316m isogroup=23250 1
c000322 -16460.528244 -16460.528244 1 c000322 isogroup=185 1
c000323p -4413.670136 -4413.670136 1 c000323p isogroup=23250 1
c000326 -17295.702762 -17305.181922 1.33605380690054e-05 c000326 isogroup=186 0.00571775360444812
c000327m -8228.953644 -8229.117413 0.567112411780879 c000327m isogroup=3641 1
c000329 -21232.848375 -21232.848374 1 c000329 isogroup=187 1
c000332 -13437.149071 -13437.149071 1 c000332 isogroup=190 1
c000336 -10818.194166 -10818.194166 1 c000336 isogroup=194 1
c000338 -10646.725765 -10647.046903 0.422887824360905 c000338 isogroup=196 1
c000339m -11592.612031 -11592.612031 1 c000339m isogroup=1107.2 1
c000344 -21907.544744 -21911.382785 0.00559575304076742 c000344 isogroup=200 0.23627015826134
c000345 -15579.982255 -15579.982255 1 c000345 isogroup=201 1
c000348 -8668.612317 -8669.76298 0.129263605087222 c000348 isogroup=202 0.84136025846062
c000349 -1090.813397 -1090.819322 0.913315353511518 c000349 isogroup=141 1
c000350 -6626.83186 -6626.895039 0.722238486070881 c000350 isogroup=203 1
c000356 -8017.736632 -8019.073317 0.102039752497208 c000356 isogroup=206 0.765992945982804
c000357 -3579.246722 -3580.669891 0.0915823251717487 c000357 isogroup=207 0.739873498674638
c000361p -12823.079867 -12889.380669 1.10503899262984e-30 c000361p isogroup=3076 1.13498554933011e-26
c000370 -24487.460772 -24487.460772 1 c000370 isogroup=216 1
c000371 -22207.975592 -22211.439918 0.00848255990555779 c000371 isogroup=217 0.28132054042421
c000373 -22554.679944 -22555.100401 0.359135497164452 c000373 isogroup=218 1
c000375p -3083.127872 -3083.148393 0.839456872851729 c000375p isogroup=26368 1
c000376m -5180.56782 -5180.56782 1 c000376m isogroup=3579 1
c000378 -22651.103135 -22653.530129 0.0275822900178486 c000378 isogroup=221 0.459153485856277
c000381p -3537.386075 -3538.865135 0.0854472385232398 c000381p isogroup=7956 0.725097035322879
c000384 -17097.605579 -17097.605043 1 c000384 isogroup=226 1
c000385m -15549.597495 -15549.597495 1 c000385m isogroup=627 1
c000385p -3984.465683 -3984.465683 1 c000385p isogroup=14625 1
c000389p -6354.115461 -6354.713422 0.274138265138128 c000389p isogroup=8042 1
c000391 -23836.728218 -23836.728218 1 c000391 isogroup=228 1
c000393m -12571.718096 -12576.141304 0.00293664976426322 c000393m isogroup=894 0.193348267491971
c000396m -4694.905229 -4693.856123 1 c000396m isogroup=14371 1
c000397 -2327.271498 -2327.271753 0.981982761159244 c000397 isogroup=231 1
c000398 -21288.770707 -21288.770706 1 c000398 isogroup=232 1
c000402 -8510.754016 -8511.151332 0.372703175132605 c000402 isogroup=235 1
c000404p -7441.011424 -7441.114014 0.650571791353844 c000404p isogroup=4475 1
c000405p -3964.855603 -3964.855603 1 c000405p isogroup=6176 1
c000410 -10023.119773 -10026.797795 0.00668376882767963 c000410 isogroup=241 0.25206167039
c000413m -5125.791892 -5127.750631 0.0477865174477577 c000413m isogroup=7069 0.57719482019726
c000417 -21433.041944 -21433.064445 0.83200035103688 c000417 isogroup=246 1
c000421 -12814.584817 -12817.986156 0.00910212471167398 c000421 isogroup=250 0.287899170646364
c000424 -14925.747915 -14927.665355 0.0501965841440069 c000424 isogroup=251 0.587878125134658
c000427 -11028.634667 -11028.634667 1 c000427 isogroup=252 1
c000428 -19553.239921 -19553.239921 1 c000428 isogroup=253 1
c000434 -14120.458867 -14120.458867 1 c000434 isogroup=259 1
c000437m -5316.655723 -5318.820713 0.0374466858086317 c000437m isogroup=8014 0.517751662428866
c000443 -19792.726929 -19792.726929 1 c000443 isogroup=260 1
c000445 -8040.305598 -8040.305598 1 c000445 isogroup=262 1
c000449 -21082.480595 -21086.510325 0.00452666731956988 c000449 isogroup=264 0.226414644658706
c000451m -3349.553905 -3349.553905 1 c000451m isogroup=1123 1
c000451p -7118.293023 -7118.293023 1 c000451p isogroup=7400 1
c000453m -13873.159161 -13873.159161 1 c000453m isogroup=1057 1
c000453p -1922.594788 -1922.594788 1 c000453p isogroup=25278 1
c000460p -8644.621542 -8644.621542 1 c000460p isogroup=4977 1
c000461 -17862.775712 -17862.540981 1 c000461 isogroup=263 1
c000466 -11808.543645 -11810.20393 0.0684181040271995 c000466 isogroup=272 0.668645616338243
c000470m -7036.143631 -7036.143634 0.998045591872232 c000470m isogroup=8118 1
c000475 -16214.542614 -16214.542614 1 c000475 isogroup=274 1
c000477 -15175.935073 -15176.73488 0.205957921133533 c000477 isogroup=278 1
c000478m -2136.020878 -2136.020878 1 c000478m isogroup=23383 1
c000482 -19934.331876 -19934.331876 1 c000482 isogroup=276 1
c000486 -13737.142206 -13738.650404 0.0824264563051631 c000486 isogroup=284 0.717965628356821
c000493m -7900.702515 -7900.702515 1 c000493m isogroup=3347 1
c000496 -9592.793034 -9592.887424 0.66393395840358 c000496 isogroup=282 1
c000497m -3759.814326 -3759.837795 0.82847971817637 c000497m isogroup=13743 1
c000499m -11002.575586 -11002.577175 0.95504406596681 c000499m isogroup=2056 1
c000502m -7164.558637 -7164.722508 0.566991715008875 c000502m isogroup=5442 1
c000504 -7458.329313 -7459.725219 0.0947470364966742 c000504 isogroup=294 0.748191606972836
c000508 -9484.60595 -9487.004932 0.02849339021244 c000508 isogroup=293 0.463062675430334
c000509m -6857.900707 -6857.900707 1 c000509m isogroup=9714 1
c000509p -8205.44475 -8205.516977 0.703892677876386 c000509p isogroup=3101 1
c000510 -15679.755742 -15686.013169 0.000403729335770558 c000510 isogroup=281 0.0584042817985832
c000515 -11633.290406 -11633.290406 1 c000515 isogroup=298 1
c000519 -16671.155087 -16671.155087 1 c000519 isogroup=300 1
c000523 -16566.919659 -16566.919659 1 c000523 isogroup=303 1
c000524 -18069.525898 -18070.369782 0.193895457384304 c000524 isogroup=303 0.985891209304054
c000526 -12613.985508 -12618.102489 0.00411136792826066 c000526 isogroup=283.1 0.220778501037646
c000527 -16757.993472 -16777.695863 3.44452395698705e-10 c000527 isogroup=270 7.0757411124428e-07
c000532 -14269.631941 -14273.087436 0.00856675453416959 c000532 isogroup=299 0.28132054042421
c000536m -7265.709398 -7265.709399 0.998871621018033 c000536m isogroup=6069 1
c000537 -10518.029303 -10519.228279 0.121494213373396 c000537 isogroup=307 0.821505638945459
c000538m -11223.722083 -11223.722083 1 c000538m isogroup=1663 1
c000541 -14285.343002 -14287.68944 0.030287911747649 c000541 isogroup=310 0.473199106043174
c000542 -13801.056123 -13801.056123 1 c000542 isogroup=311 1
c000543 -4604.90268 -4604.90268 1 c000543 isogroup=312 1
c000544m -13531.226267 -13531.340747 0.632296047275135 c000544m isogroup=1142 1
c000544p -2103.519105 -2104.435357 0.175832071600819 c000544p isogroup=12195 0.945039878289905
c000545m -6179.807955 -6179.807955 1 c000545m isogroup=9401 1
c000546m -7283.928329 -7283.929674 0.95863609541546 c000546m isogroup=3808 1
c000547p -9804.935253 -9804.980866 0.762624298279168 c000547p isogroup=2446 1
c000549 -9822.222076 -9822.566752 0.406384877006629 c000549 isogroup=313 1
c000550m -5871.175669 -5871.466903 0.445346566470537 c000550m isogroup=9073 1
c000551 -6540.374008 -6541.308504 0.171590571652619 c000551 isogroup=215 0.935419842181188
c000555 -4195.872264 -4195.872264 1 c000555 isogroup=316 1
c000557 -11797.719404 -11797.719404 1 c000557 isogroup=227 1
c000558 -24957.468125 -24959.886487 0.0278597721594717 c000558 isogroup=322 0.46001256435259
c000559 -18197.149783 -18197.179435 0.807599397624331 c000559 isogroup=317 1
c000562m -4553.559954 -4553.559954 1 c000562m isogroup=319 1
c000565m -24928.373662 -24938.020981 1.12020493850553e-05 c000565m isogroup=1622 0.00547886901113823
