contig	Nc
isotig09765	61.00
isotig01446	52.43
isotig12578	57.00
isotig15553	50.56
isotig00230	61.00
isotig00231	61.00
isotig00235	61.00
c028086	52.32
c011142	54.22
c011147	54.37
c011145	61.00
c023528	57.82
c023525	52.55
c023523	53.55
c009047p	53.63
c045198	47.50
c044574	50.62
c050292	61.00
c003574	56.95
c027333	46.55
c003577	53.46
c006313	55.90
c050736	51.20
c003573	54.79
c003572	59.31
c050731	52.58
c006318	56.47
c051749	51.78
c002446p	49.46
c014469	57.11
c002446m	55.29
c014092	55.59
c014465	52.00
c000325m	51.41
c000325p	51.84
c016318p	61.00
c043734	54.25
c020173	53.83
c020177	57.36
c020175	61.00
c017471	57.50
c017470	49.91
c011969	57.54
c011961	54.10
c011963	55.81
c011965	51.72
c011967	58.48
c012304	59.62
c012306	54.96
c012300	51.75
c012302	54.01
c012309	56.80
c046271	44.71
c046275	43.20
c021593	58.74
c038233	36.69
c021224	55.67
c021223	61.00
c021229	59.49
c013632	54.10
c046854	53.94
c046850	57.19
c046859	61.00
c015268	58.76
c011149	50.51
c007725p	51.14
c011141	54.13
c011146	49.96
c011144	52.86
c009646	49.21
c011605	58.71
c050295	44.13
c050297	57.71
c027334	51.82
c027336	56.42
c027332	36.88
c015202p	41.61
c013332	54.52
c003571	49.00
c050734	38.56
c015202m	49.67
c050732	61.00
c006319	55.82
c011143	60.03
c002812p	53.83
c014468	41.86
c002812m	53.75
c014462	58.39
c014460	58.24
c014466	40.66
c014464	51.43
c053283	61.00
c011413	54.51
c016318m	46.60
c053288	38.25
c000066	57.95
c020172	52.03
c020176	47.77
c001747m	56.48
c011968	52.58
c017472	49.03
c011960	47.17
c011962	60.51
c011964	50.95
c011966	55.52
c012307	50.38
c012303	50.30
c029625	59.36
c021594	53.83
c021592	55.03
c047101	37.40
c047107	36.32
c021225	61.00
c021227	60.55
c021220	46.10
c015269	50.65
c041463	43.61
c036382	58.18
c036380	36.83
c036384	50.74
c021468	50.13
c016357	54.57
c016355	57.62
c009073m	57.04
c001659p	60.27
c039277	46.56
c039274	58.04
c039272	59.51
c004794m	48.90
c054504	61.00
c019993	52.66
c019997	53.90
c036566	61.00
c036562	60.68
c036560	58.69
c026360	61.00
c026365	53.09
c030263	60.58
c033267	48.78
c008513m	61.00
c040455	51.64
c038050	50.50
c040458	61.00
c002183	54.07
c002181	58.65
c029595	61.00
c025405p	52.42
c038637	61.00
c038633	54.44
c024313	48.72
c024311	46.16
c024317	51.49
c005914	57.20
c005910	56.00
c005912	55.88
c006873	55.96
c002585	55.26
c002583	59.51
c000088	56.01
c006697	48.70
c000089	58.07
c025049	52.54
c006691	50.44
c025047	61.00
c025041	55.47
c025043	59.59
c008017	57.53
c008016	53.88
c036175	61.00
c048847	53.13
c000339p	51.64
c028341	55.41
c028343	52.32
c028347	53.00
c034630	52.18
c034636	59.33
c000063	53.42
c032676	57.52
c032674	51.99
c032672	55.69
c003637	55.58
c003635	56.82
c003633	56.59
c003631	52.90
c003639	54.99
c007524	57.73
c007522	55.58
c007520	41.91
c012667	61.00
c012665	59.57
c012663	55.38
c007528	54.55
c019038	58.15
c024889	48.90
c024880	55.42
c024884	51.29
c002453	54.09
c023053	44.72
c014959	49.97
c029037	55.11
c004185	54.34
c004187	46.96
c004189	56.61
c018717m	46.18
