contig	numParameters	likelihood
c000007	14	-24034.176576
c000010m	10	-31911.720909
c000013p	10	-20890.216805
c000017	10	-17698.248052
c000027	10	-18684.306995
c000034m	16	-5414.182546
c000035	12	-49558.104378
c000038	14	-45124.351812
c000043p	14	-6322.268559
c000047	14	-19686.358385
c000050	10	-30152.411022
c000058	16	-34988.628204
c000061m	14	-8743.251006
c000061p	12	-15077.378382
c000074	10	-32665.030325
c000076p	14	-12283.108492
c000090	14	-14314.236907
c000091	14	-9435.094645
c000092	10	-8779.755491
c000093m	18	-8517.745087
c000100m	14	-12167.796556
c000100p	12	-12890.481573
c000105m	16	-15271.021916
c000106p	16	-4450.213271
c000109	16	-16494.677673
c000113	10	-7791.161113
c000118	10	-19604.456092
c000119	12	-30057.014330
c000120p	24	-5384.332536
c000122m	12	-9437.940569
c000128	12	-24963.043090
c000136m	14	-10687.769758
c000136p	10	-6222.443264
c000140	16	-36125.003304
c000144m	18	-6309.709544
c000148m	12	-6526.986333
c000148p	20	-2558.808512
c000149m	16	-19224.746060
c000149p	18	-4532.449803
c000156	10	-13203.705471
c000157	12	-7797.197205
c000158p	12	-4163.117592
c000160	10	-13750.285580
c000162	10	-8496.908348
c000163	14	-32045.148706
c000164	12	-23259.590466
c000166	14	-18432.073168
c000167	12	-19238.473933
c000169m	24	-3129.465295
c000171	14	-14316.274159
c000174	12	-9059.128987
c000177	14	-16507.256563
c000180	10	-26980.537523
c000181	14	-28964.338416
c000192	14	-15521.053151
c000194m	16	-6081.466825
c000197	18	-35275.760375
c000198m	14	-11134.873328
c000202	12	-17826.311719
c000203	18	-33271.220528
c000205	12	-11180.743662
c000206	12	-11334.099087
c000207	12	-26077.390358
c000210	14	-8668.714356
c000212m	10	-2307.727341
c000214	10	-15405.623756
c000215	10	-8218.274677
c000221	12	-5232.220685
c000233	10	-24061.746439
c000234m	18	-9497.559666
c000235p	10	-8741.487510
c000238p	10	-5515.923793
c000242m	18	-22872.111451
c000243m	10	-7927.824696
c000243p	12	-12446.017707
c000244p	12	-13735.718683
c000245p	16	-8592.256765
c000247m	12	-12220.348645
c000247p	10	-7984.652023
c000248	14	-22454.884286
c000252	18	-27860.638760
c000254p	16	-4552.691526
c000255	12	-5812.163194
c000256p	10	-4858.530709
c000260m	20	-4077.506905
c000267	12	-27068.128401
c000268	10	-13981.982321
c000279	10	-9292.642035
c000289	16	-1575.241755
c000290	14	-11117.489546
c000297	10	-12772.397024
c000302	12	-15164.206313
c000304	10	-14103.274041
c000308	12	-16737.816533
c000310	14	-21380.591913
c000313	12	-16129.675732
c000316m	10	-1487.596088
c000322	10	-16460.528244
c000323p	24	-4413.670136
c000326	10	-17295.702762
c000327m	16	-8228.953644
c000329	16	-21232.848375
c000332	10	-13437.149071
c000336	14	-10818.194166
c000338	12	-10646.725765
c000339m	12	-11592.612031
c000344	16	-21907.544744
c000345	12	-15579.982255
c000348	10	-8668.612317
c000349	14	-1090.813397
c000350	12	-6626.831860
c000356	14	-8017.736632
c000357	16	-3579.246722
c000361p	16	-12823.079867
c000370	12	-24487.460772
c000371	16	-22207.975592
c000373	16	-22554.679944
c000375p	30	-3083.127872
c000376m	12	-5180.567820
c000378	12	-22651.103135
c000381p	16	-3537.386075
c000384	10	-17097.605579
c000385m	12	-15549.597495
c000385p	18	-3984.465683
c000389p	20	-6354.115461
c000391	14	-23836.728218
c000393m	12	-12571.718096
c000396m	18	-4694.905229
c000397	12	-2327.271498
c000398	16	-21288.770707
c000402	12	-8510.754016
c000404p	18	-7441.011424
c000405p	10	-3964.855603
c000410	10	-10023.119773
c000413m	18	-5125.791892
c000417	12	-21433.041944
c000421	12	-12814.584817
c000424	10	-14925.747915
c000427	16	-11028.634667
c000428	10	-19553.239921
c000434	10	-14120.458867
c000437m	20	-5316.655723
c000443	12	-19792.726929
c000445	12	-8040.305598
c000449	12	-21082.480595
c000451m	16	-3349.553905
c000451p	16	-7118.293023
c000453m	12	-13873.159161
c000453p	32	-1922.594788
c000460p	16	-8644.621542
c000461	10	-17862.775712
c000466	14	-11808.543645
c000470m	18	-7036.143631
c000475	10	-16214.542614
c000477	14	-15175.935073
c000478m	18	-2136.020878
c000482	10	-19934.331876
c000486	10	-13737.142206
c000493m	16	-7900.702515
c000496	14	-9592.793034
c000497m	20	-3759.814326
c000499m	12	-11002.575586
c000502m	18	-7164.558637
c000504	10	-7458.329313
c000508	10	-9484.605950
c000509m	18	-6857.900707
c000509p	22	-8205.444750
c000510	10	-15679.755742
c000515	10	-11633.290406
c000519	12	-16671.155087
c000523	10	-16566.919659
c000524	12	-18069.525898
c000526	12	-12613.985508
c000527	12	-16757.993472
c000532	10	-14269.631941
c000536m	18	-7265.709398
c000537	16	-10518.029303
c000538m	12	-11223.722083
c000541	12	-14285.343002
c000542	10	-13801.056123
c000543	14	-4604.902680
c000544m	18	-13531.226267
c000544p	12	-2103.519105
c000545m	12	-6179.807955
c000546m	12	-7283.928329
c000547p	10	-9804.935253
c000549	12	-9822.222076
c000550m	22	-5871.175669
c000551	12	-6540.374008
c000555	28	-4195.872264
c000557	14	-11797.719404
c000558	22	-24957.468125
c000559	10	-18197.149783
c000562m	16	-4553.559954
c000565m	18	-24928.373662
c000568	14	-9152.586225
c000570p	16	-11450.731514
c000578m	10	-4230.954449
c000578p	28	-5944.611418
c000580p	18	-5685.550516
c000583	12	-12385.780731
c000584m	12	-842.333238
c000585	12	-14053.758679
c000587m	10	-7176.038577
c000590	12	-16242.037635
c000596	10	-12413.834850
c000597	10	-10116.992903
c000598	14	-6606.743222
c000602	10	-9195.618929
c000607	10	-7977.152009
c000608m	12	-17176.883261
c000608p	28	-5463.163010
c000613m	10	-8418.280346
c000614	12	-10943.302504
c000615m	12	-4533.731617
c000615p	16	-8890.121841
c000617m	12	-1712.443338
c000618	16	-9056.583388
c000619	12	-11371.380040
c000626p	10	-7221.691009
c000627	10	-7326.890639
c000631	14	-14595.141933
c000640	10	-5797.207728
c000641	14	-13682.963874
c000645	14	-25469.638044
c000646	10	-14486.959735
c000648	10	-9890.863615
c000651	12	-7994.262353
c000652m	16	-11873.799795
c000653p	12	-5277.275480
c000655	14	-13100.581202
c000657m	18	-8104.233407
c000658	16	-13298.270744
c000659m	12	-2456.034057
c000659p	16	-9229.894763
c000664	16	-18098.837626
c000665p	14	-11543.053358
c000666	12	-13063.415749
c000674	10	-9042.884282
c000675p	16	-3063.266654
c000676	10	-13039.529684
c000678	12	-18319.700164
c000679m	12	-6665.712212
c000679p	16	-2187.652431
c000680p	22	-5265.787288
c000684p	12	-6716.688561
c000689p	12	-8274.881877
c000690	20	-4539.919717
c000693m	24	-2120.852259
c000693p	14	-8645.588573
c000698	14	-14804.947604
c000704p	10	-7361.490808
c000706	14	-19096.950303
c000708	10	-13049.668963
c000709	14	-6735.320950
c000710	18	-25618.195130
c000713	10	-4177.204612
c000718	12	-16474.319464
c000721	12	-1013.510706
c000722	12	-12445.171590
c000725	12	-4487.136351
c000732	12	-5683.033967
c000734p	14	-1645.644577
c000736	18	-9999.022833
c000742	10	-4938.715071
c000743	10	-5631.032286
c000748	10	-13038.081538
c000751m	12	-4317.899702
c000753	10	-11476.186044
c000754	22	-9028.671090
c000756m	12	-10569.052482
c000757m	20	-5831.275927
c000760m	18	-2325.167042
c000760p	28	-3907.722420
c000761	16	-14975.407052
c000763	10	-13980.263775
c000764m	10	-5215.865009
c000764p	22	-4881.642043
c000767p	14	-2023.445736
c000771	20	-12631.609863
c000775	12	-11700.163767
c000781p	10	-1368.124723
c000783	14	-14491.413319
c000789p	24	-4183.727147
c000790	14	-19895.797734
c000791	14	-6253.164420
c000796	10	-10066.342707
c000797	10	-6151.686990
c000798p	16	-2172.931896
c000803	14	-14275.575480
c000804	10	-19064.767201
c000806m	26	-1182.387212
c000806p	12	-4890.221277
c000816m	12	-7362.727076
c000817	18	-18113.355814
c000821	12	-14651.857710
c000822m	16	-3428.241765
c000822p	18	-8006.169496
c000823	10	-12385.103799
c000824	16	-16085.674717
c000825	12	-15750.994751
c000826	10	-15468.562490
c000827	16	-3976.446595
c000829	10	-4511.004008
c000831	18	-12470.087913
c000835	10	-9129.028800
c000836p	18	-1661.145793
c000838	10	-8786.852051
c000839m	10	-6974.907200
c000839p	22	-4183.913569
c000840	18	-10520.446606
c000842	18	-965.925188
c000847	14	-7845.640781
c000850	10	-9414.626124
c000851m	10	-2059.752707
c000851p	12	-7328.910858
c000855m	14	-5942.705411
c000856m	14	-6141.929239
c000856p	22	-1671.500921
c000857m	14	-9537.510877
c000857p	16	-3840.979344
c000860m	24	-4028.191549
c000861	10	-6378.560038
c000862	22	-8170.784506
c000863	10	-13169.229789
c000865	12	-15350.739180
c000866	10	-15838.538270
c000868	10	-4965.271962
c000869	16	-16473.511633
c000870	12	-12811.213721
c000871p	26	-1538.146236
c000873	12	-18104.566587
c000875	18	-13299.802162
c000882	14	-9964.238359
c000884	12	-12932.954343
c000886	14	-9954.027844
c000891p	10	-2152.235191
c000894	20	-7982.888151
c000896	12	-6367.560406
c000897m	16	-14607.486029
c000902	10	-8949.574917
c000904	10	-16180.242396
c000905	26	-13897.659631
c000908m	30	-865.511401
c000910	10	-14759.783103
c000912m	12	-9603.169071
c000912p	22	-2707.587567
c000914	14	-15921.412606
c000915	12	-10553.664019
c000916p	24	-3324.269342
c000917	12	-13712.224561
c000918	14	-8454.239801
c000920	10	-10866.791237
c000925m	10	-6895.965144
c000929p	14	-9000.477062
c000930p	12	-3344.959999
c000931	14	-17889.422606
c000932p	14	-4651.482281
c000936m	26	-3303.304180
c000939	10	-6677.276187
c000940	14	-7835.912013
c000943	10	-16727.398605
c000949	10	-7737.726641
c000951p	12	-6303.598876
c000953	18	-4493.617657
c000954	10	-7818.391114
c000960	12	-3792.131491
c000964	12	-9094.742200
c000966	20	-10644.021787
c000967m	14	-9086.333362
c000968	12	-9285.281052
c000972p	14	-9921.703891
c000975m	28	-2595.375489
c000975p	18	-4320.296305
c000977	10	-11030.945384
c000978	16	-5676.197136
c000979	22	-8963.700366
c000988	18	-3154.923769
c000989	18	-5062.463454
c000991	14	-14119.492119
c000997	22	-7957.271631
c000998	12	-9357.508066
c001002	10	-8867.323009
c001006	10	-13842.838089
c001010	14	-16177.236342
c001012m	26	-5864.763895
c001012p	10	-4379.486361
c001014	14	-16830.129008
c001016	16	-1278.397650
c001020	10	-5566.976355
c001021m	12	-5637.230918
c001023	14	-10229.393026
c001024	12	-15644.364792
c001027m	18	-6363.770582
c001030	14	-12611.364087
c001031	14	-2460.476915
c001035	18	-5330.940463
c001041p	14	-11341.348714
c001042	14	-10618.144046
c001046	14	-14520.395200
c001049p	10	-8717.517678
c001051p	14	-5899.666450
c001053	16	-11852.421874
c001056m	34	-4681.458364
c001058	10	-16992.229917
c001061	16	-17993.518325
c001062	10	-10502.259467
c001063	12	-14134.386597
c001064m	22	-7992.866682
c001064p	16	-3045.484146
c001065	12	-11180.669668
c001066m	24	-3839.578440
c001066p	14	-6557.057775
c001072	10	-4376.816499
c001073m	18	-5053.478980
c001073p	14	-4674.260040
c001074	16	-15217.097938
c001075m	10	-1403.766783
c001076p	12	-4849.666242
c001077	16	-5708.574812
c001078	10	-5044.063611
c001083	10	-8415.067066
c001084	10	-6312.139507
c001085	12	-14936.707203
c001087p	18	-5895.312535
c001088p	14	-4226.252959
c001089	12	-2366.784699
c001092	12	-7135.152277
c001094m	24	-4244.644246
c001094p	18	-8062.302802
c001095	14	-10388.598738
c001096	16	-6770.948080
c001097	16	-2390.429899
c001099	10	-7190.443199
c001101p	32	-1809.848580
c001102	12	-10709.868176
c001103p	10	-2686.392385
c001108p	10	-11521.611954
c001109	12	-12917.397153
c001110	14	-6878.534925
c001112	16	-11244.942173
c001113	10	-14884.619065
c001117m	26	-3493.095143
c001119	12	-12969.206146
c001120	12	-4171.320519
c001122m	28	-3470.987485
c001122p	24	-2690.364289
c001124	10	-6624.707122
c001125p	12	-6134.362888
