contig	total	optimal	suboptimal	ambiguous	fop
isotig09765	129	22	106	1	0.170542635659
isotig01446	229	34	195	0	0.148471615721
isotig12578	228	39	189	0	0.171052631579
isotig15553	168	23	145	0	0.136904761905
isotig00230	210	30	180	0	0.142857142857
isotig00231	210	32	178	0	0.152380952381
isotig00235	210	28	182	0	0.133333333333
c028086	93	11	82	0	0.118279569892
c011142	597	54	543	0	0.0904522613065
c011147	136	29	107	0	0.213235294118
c011145	144	21	123	0	0.145833333333
c023528	293	28	265	0	0.0955631399317
c023525	371	65	306	0	0.175202156334
c023523	158	21	137	0	0.132911392405
c009047p	447	68	379	0	0.152125279642
c045198	82	18	64	0	0.219512195122
c044574	47	5	42	0	0.106382978723
c050292	48	6	42	0	0.125
c003574	219	33	186	0	0.150684931507
c027333	200	28	172	0	0.14
c003577	861	107	632	122	0.124274099884
c006313	375	47	328	0	0.125333333333
c050736	82	6	76	0	0.0731707317073
c003573	890	115	775	0	0.129213483146
c003572	806	92	714	0	0.114143920596
c050731	63	5	58	0	0.0793650793651
c006318	705	81	624	0	0.114893617021
c051749	107	17	90	0	0.158878504673
c002446p	510	66	429	15	0.129411764706
c014469	230	20	210	0	0.0869565217391
c002446m	501	71	430	0	0.141716566866
c014092	427	56	371	0	0.131147540984
c014465	200	17	183	0	0.085
c000325m	977	107	814	56	0.109518935517
c000325p	1341	188	1093	60	0.14019388516
c016318p	94	16	78	0	0.170212765957
c043734	122	13	109	0	0.106557377049
c020173	37	5	32	0	0.135135135135
c020177	295	39	224	32	0.132203389831
c020175	135	8	110	17	0.0592592592593
c017471	341	37	304	0	0.108504398827
c017470	165	13	152	0	0.0787878787879
c011969	512	49	369	94	0.095703125
c011961	435	51	349	35	0.11724137931
c011963	567	81	486	0	0.142857142857
c011965	634	88	482	64	0.13880126183
c011967	410	48	362	0	0.117073170732
c012304	227	21	206	0	0.0925110132159
c012306	244	27	217	0	0.110655737705
c012300	615	65	445	105	0.105691056911
c012302	537	69	468	0	0.128491620112
c012309	460	70	390	0	0.152173913043
c046271	76	7	69	0	0.0921052631579
c046275	76	10	66	0	0.131578947368
c021593	288	30	258	0	0.104166666667
c021590	23	3	20	0	0.130434782609
c038233	46	7	39	0	0.152173913043
c021224	316	37	279	0	0.117088607595
c021223	180	15	165	0	0.0833333333333
