contig	numParameters	likelihood
c000007	13	-24054.719513
c000010m	9	-31911.720909
c000013p	9	-20891.533920
c000017	9	-17698.248052
c000027	9	-18686.027157
c000034m	15	-5414.703296
c000035	11	-49562.915899
c000038	13	-45127.370016
c000043p	13	-6322.329373
c000047	13	-19687.727459
c000050	9	-30152.295716
c000058	15	-34989.962173
c000061m	13	-8743.251006
c000061p	11	-15077.378382
c000074	9	-32665.860586
c000076p	13	-12287.071501
c000090	13	-14314.249340
c000091	13	-9435.094645
c000092	9	-8782.448434
c000093m	17	-8517.745087
c000100m	13	-12173.913965
c000100p	11	-12890.481573
c000105m	15	-15273.483795
c000106p	15	-4450.213271
c000109	15	-16501.198097
c000113	9	-7791.452533
c000118	9	-19605.104452
c000119	11	-30059.335979
c000120p	23	-5384.332536
c000122m	11	-9437.940569
c000128	11	-24963.043090
c000136m	13	-10688.016171
c000136p	9	-6222.970153
c000140	15	-36126.685838
c000144m	17	-6309.709544
c000148m	11	-6526.986333
c000148p	19	-2558.808512
c000149m	15	-19227.660742
c000149p	17	-4533.694964
c000156	9	-13203.705471
c000157	11	-7797.197205
c000158p	11	-4163.117592
c000160	9	-13750.362189
c000162	9	-8497.172796
c000163	13	-32049.380231
c000164	11	-23260.371093
c000166	13	-18434.702516
c000167	11	-19238.473933
c000169m	23	-3129.465295
c000171	13	-14316.274159
c000174	11	-9059.270099
c000177	13	-16507.256563
c000180	9	-26992.587678
c000181	13	-28964.338416
c000192	13	-15521.053151
c000194m	15	-6084.492310
c000197	17	-35275.760375
c000198m	13	-11134.873328
c000202	11	-17826.311719
c000203	17	-33271.220528
c000205	11	-11180.787490
c000206	11	-11334.099087
c000207	11	-26077.413078
c000210	13	-8668.343513
c000212m	9	-2307.727341
c000214	9	-15405.623756
c000215	9	-8218.429951
c000221	11	-5232.221137
c000233	9	-24061.746438
c000234m	17	-9497.992148
c000235p	9	-8741.776300
c000238p	9	-5516.462578
c000242m	17	-22872.111451
c000243m	9	-7927.824696
c000243p	11	-12446.017707
c000244p	11	-13735.718683
c000245p	15	-8593.582742
c000247m	11	-12220.348645
c000247p	9	-7985.403587
c000248	13	-22454.884286
c000252	17	-27860.862651
c000254p	15	-4553.257483
c000255	11	-5812.163194
c000256p	9	-4860.335882
c000260m	19	-4078.355983
c000267	11	-27068.128401
c000268	9	-13985.478638
c000279	9	-9292.642035
c000289	15	-1575.833754
c000290	13	-11117.820733
c000297	9	-12774.668414
c000302	11	-15164.206313
c000304	9	-14103.274041
c000308	11	-16737.834492
c000310	13	-21380.591913
c000313	11	-16129.675732
c000316m	9	-1487.596088
c000322	9	-16460.528244
c000323p	23	-4413.670136
c000326	9	-17305.181922
c000327m	15	-8229.117413
c000329	15	-21232.848374
c000332	9	-13437.149071
c000336	13	-10818.194166
c000338	11	-10647.046903
c000339m	11	-11592.612031
c000344	15	-21911.382785
c000345	11	-15579.982255
c000348	9	-8669.762980
c000349	13	-1090.819322
c000350	11	-6626.895039
c000356	13	-8019.073317
c000357	15	-3580.669891
c000361p	15	-12889.380669
c000370	11	-24487.460772
c000371	15	-22211.439918
c000373	15	-22555.100401
c000375p	29	-3083.148393
c000376m	11	-5180.567820
c000378	11	-22653.530129
c000381p	15	-3538.865135
c000384	9	-17097.605043
c000385m	11	-15549.597495
c000385p	17	-3984.465683
c000389p	19	-6354.713422
c000391	13	-23836.728218
c000393m	11	-12576.141304
c000396m	17	-4693.856123
c000397	11	-2327.271753
c000398	15	-21288.770706
c000402	11	-8511.151332
c000404p	17	-7441.114014
c000405p	9	-3964.855603
c000410	9	-10026.797795
c000413m	17	-5127.750631
c000417	11	-21433.064445
c000421	11	-12817.986156
c000424	9	-14927.665355
c000427	15	-11028.634667
c000428	9	-19553.239921
c000434	9	-14120.458867
c000437m	19	-5318.820713
c000443	11	-19792.726929
c000445	11	-8040.305598
c000449	11	-21086.510325
c000451m	15	-3349.553905
c000451p	15	-7118.293023
c000453m	11	-13873.159161
c000453p	31	-1922.594788
c000460p	15	-8644.621542
c000461	9	-17862.540981
c000466	13	-11810.203930
c000470m	17	-7036.143634
c000475	9	-16214.542614
c000477	13	-15176.734880
c000478m	17	-2136.020878
c000482	9	-19934.331876
c000486	9	-13738.650404
c000493m	15	-7900.702515
c000496	13	-9592.887424
c000497m	19	-3759.837795
c000499m	11	-11002.577175
c000502m	17	-7164.722508
c000504	9	-7459.725219
c000508	9	-9487.004932
c000509m	17	-6857.900707
c000509p	21	-8205.516977
c000510	9	-15686.013169
c000515	9	-11633.290406
c000519	11	-16671.155087
c000523	9	-16566.919659
c000524	11	-18070.369782
c000526	11	-12618.102489
c000527	11	-16777.695863
c000532	9	-14273.087436
c000536m	17	-7265.709399
c000537	15	-10519.228279
c000538m	11	-11223.722083
c000541	11	-14287.689440
c000542	9	-13801.056123
c000543	13	-4604.902680
c000544m	17	-13531.340747
c000544p	11	-2104.435357
c000545m	11	-6179.807955
c000546m	11	-7283.929674
c000547p	9	-9804.980866
c000549	11	-9822.566752
c000550m	21	-5871.466903
c000551	11	-6541.308504
c000555	27	-4195.872264
c000557	13	-11797.719404
c000558	21	-24959.886487
c000559	9	-18197.179435
c000562m	15	-4553.559954
c000565m	17	-24938.020981
c000568	13	-9154.186227
c000570p	15	-11450.732465
c000578m	9	-4231.220468
c000578p	27	-5944.707544
c000580p	17	-5685.550516
c000583	11	-12386.703011
c000584m	11	-842.333238
c000585	11	-14053.758680
c000587m	9	-7176.647536
c000590	11	-16242.037635
c000596	9	-12416.414427
c000597	9	-10117.534082
c000598	13	-6606.743222
c000602	9	-9195.618929
c000607	9	-7977.152009
c000608m	11	-17177.344540
c000608p	27	-5463.163010
c000613m	9	-8419.485505
c000614	11	-10946.931300
c000615m	11	-4534.283788
c000615p	15	-8890.455082
c000617m	11	-1716.273229
c000618	15	-9056.863248
c000619	11	-11371.380040
c000626p	9	-7226.635778
c000627	9	-7327.942105
c000631	13	-14595.779932
c000640	9	-5797.207728
c000641	13	-13695.011122
c000645	13	-25469.638044
c000646	9	-14486.959735
c000648	9	-9891.233093
c000651	11	-7994.262353
c000652m	15	-11873.799795
c000653p	11	-5277.275480
c000655	13	-13100.581202
c000657m	17	-8104.233407
c000658	15	-13298.270744
c000659m	11	-2457.433606
c000659p	15	-9229.894762
c000664	15	-18100.180152
c000665p	13	-11545.734765
c000666	11	-13063.415749
c000674	9	-9046.823814
c000675p	15	-3064.027799
c000676	9	-13039.529684
c000678	11	-18319.997412
c000679m	11	-6665.712212
c000679p	15	-2190.521182
c000680p	21	-5265.787288
c000684p	11	-6716.784430
c000689p	11	-8278.276551
c000690	19	-4539.919717
c000693m	23	-2120.852259
c000693p	13	-8645.796897
c000698	13	-14805.070349
c000704p	9	-7361.490808
c000706	13	-19102.686069
c000708	9	-13049.668963
c000709	13	-6735.320951
c000710	17	-25629.145578
c000713	9	-4177.753147
c000718	11	-16474.319464
c000721	11	-1013.510706
c000722	11	-12445.530219
c000725	11	-4531.002931
c000732	11	-5683.033967
c000734p	13	-1646.464525
c000736	17	-10000.819763
c000742	9	-4941.907032
c000743	9	-5631.032311
c000748	9	-13038.922491
c000751m	11	-4317.899702
c000753	9	-11476.186044
c000754	21	-9028.671090
c000756m	11	-10569.117470
c000757m	19	-5831.279796
c000760m	17	-2325.167042
c000760p	27	-3907.725423
c000761	15	-14976.085597
c000763	9	-13980.263775
c000764m	9	-5215.865009
c000764p	21	-4881.748665
c000767p	13	-2023.445736
c000771	19	-12633.675985
c000775	11	-11700.163767
c000781p	9	-1368.138229
c000783	13	-14492.303950
c000789p	23	-4183.727147
c000790	13	-19895.797734
c000791	13	-6254.168670
c000796	9	-10069.616092
c000797	9	-6152.438472
c000798p	15	-2172.931896
c000803	13	-14273.680123
c000804	9	-19066.289442
c000806m	25	-1182.387212
c000806p	11	-4890.221277
c000816m	11	-7362.727073
c000817	17	-18113.379024
c000821	11	-14651.857710
c000822m	15	-3428.339411
c000822p	17	-8007.458104
c000823	9	-12385.103799
c000824	15	-16085.860749
c000825	11	-15752.057307
c000826	9	-15468.562490
c000827	15	-3976.446595
c000829	9	-4511.147899
c000831	17	-12470.303700
c000835	9	-9129.028800
c000836p	17	-1661.145793
c000838	9	-8787.332539
c000839m	9	-6974.911719
c000839p	21	-4183.913569
c000840	17	-10520.446606
c000842	17	-965.944653
c000847	13	-7846.509626
c000850	9	-9418.087494
c000851m	9	-2059.752707
c000851p	11	-7329.656673
c000855m	13	-5944.445599
c000856m	13	-6141.929239
c000856p	21	-1671.500921
c000857m	13	-9537.510877
c000857p	15	-3846.165779
c000860m	23	-4028.197263
c000861	9	-6378.560038
c000862	21	-8171.192048
c000863	9	-13169.229789
c000865	11	-15350.739180
c000866	9	-15838.918482
c000868	9	-4965.320787
c000869	15	-16477.040205
c000870	11	-12812.664354
c000871p	25	-1538.146236
c000873	11	-18104.566587
c000875	17	-13304.108897
c000882	13	-9964.228290
c000884	11	-12931.640199
c000886	13	-9954.435679
c000891p	9	-2152.235191
c000894	19	-7983.426253
c000896	11	-6367.560406
c000897m	15	-14607.729115
c000902	9	-8949.574917
c000904	9	-16180.242396
c000905	25	-13902.666669
c000908m	29	-865.511401
c000910	9	-14759.783103
c000912m	11	-9603.955427
c000912p	21	-2710.506014
c000914	13	-15922.042721
c000915	11	-10553.664019
c000916p	23	-3324.269342
c000917	11	-13712.224561
c000918	13	-8457.062279
c000920	9	-10866.771903
c000925m	9	-6895.965721
c000929p	13	-9001.079240
c000930p	11	-3344.959999
c000931	13	-17891.911352
c000932p	13	-4651.594530
c000936m	25	-3303.304180
c000939	9	-6677.632757
c000940	13	-7835.912013
c000943	9	-16727.398605
c000949	9	-7737.726641
c000951p	11	-6304.330297
c000953	17	-4493.617657
c000954	9	-7819.629410
c000960	11	-3792.131491
c000964	11	-9094.742200
c000966	19	-10644.779818
c000967m	13	-9086.904411
c000968	11	-9283.309489
c000972p	13	-9921.703891
c000975m	27	-2595.375489
c000975p	17	-4321.938605
c000977	9	-11040.617904
c000978	15	-5676.195356
c000979	21	-8963.700366
c000988	17	-3156.430608
c000989	17	-5062.463454
c000991	13	-14120.285911
c000997	21	-7957.271631
c000998	11	-9359.726413
c001002	9	-8867.323009
c001006	9	-13845.177685
c001010	13	-16178.333372
c001012m	25	-5865.571004
c001012p	9	-4379.486361
c001014	13	-16830.796346
c001016	15	-1278.433620
c001020	9	-5566.976355
c001021m	11	-5638.653870
c001023	13	-10236.367926
c001024	11	-15644.742617
c001027m	17	-6363.770582
c001030	13	-12611.364087
c001031	13	-2460.497108
c001035	17	-5331.015269
c001041p	13	-11350.931848
c001042	13	-10618.755871
c001046	13	-14520.395218
