name	term	lev	seq	value
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup12669	0.297270761363875
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup13394	0.115874175703621
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup16530	0
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup4706	0.415593194674435
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup5984	0
"1-acylglycerol-3-phosphate O-acyltransferase activity"	GO:0003841;GO:0042171;GO:0071617	2	isogroup9174	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup11620	1.06331992268793
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup11659	0.965615013468007
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup12195	0.75490190714103
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup12640	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup12860	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup16000	1.37390557019111
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup16059	1.02755005028322
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup18021	0.655956637338088
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup18597	1.85154569207445
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup20189	0.00505058477598618
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup2051	1.55018058950916
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup22371	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup23249	1.17154713472771
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup24511	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup24674	1.15826486412767
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup3494	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup4189	0.752609452594338
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup4266	0.363780315509479
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup4276	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup431	0.612534628454349
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup4330	0.469419385341659
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup6269	0.518082440107311
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup6592	2.85100601825105
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup7299	0
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup7517	1.29319231020993
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup7864	1.58845439209014
"trypsin activity"	GO:0004295;GO:0004263	-1	isogroup9658	0
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup10128	0
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup10191	0
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup11340	1.86478648167523
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup11728	0.150899930404406
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup12220	0
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup12279	0
"organic anion transmembrane transporter activity"	GO:0046943;GO:0005342;GO:0008514	3	isogroup13222	0.374104027207976
