contig	species	dN	dS	dNdS
c000007	Adigitifer	0.0058	0.0436	0.1322
c000010m	Adigitifer	0.0049	0.0216	0.2276
c000013p	Adigitifer	0.0043	0.0302	0.1419
c000017	Adigitifer	0.0036	0.0231	0.1540
c000027	Adigitifer	0.0029	0.0478	0.0598
c000035	Adigitifer	0.0140	0.0338	0.4130
c000038	Adigitifer	0.0091	0.0306	0.2980
c000047	Adigitifer	0.0047	0.0254	0.1857
c000058	Adigitifer	0.0009	0.0214	0.0443
c000061m	Adigitifer	0.0025	0.0384	0.0661
c000061p	Adigitifer	0.0021	0.0239	0.0895
c000074	Adigitifer	0.0099	0.0333	0.2980
c000076p	Adigitifer	0.0039	0.0330	0.1184
c000090	Adigitifer	0.0093	0.0331	0.2817
c000092	Adigitifer	0.0042	0.0229	0.1831
c000093m	Adigitifer	0.0041	0.0330	0.1247
c000100m	Adigitifer	0.0091	0.0162	0.5624
c000100p	Adigitifer	0.0059	0.0444	0.1330
c000105m	Adigitifer	0.0036	0.0216	0.1661
c000106p	Adigitifer	0.0027	0.0192	0.1414
c000109	Adigitifer	0.0116	0.0727	0.1600
c000113	Adigitifer	0.0023	0.0266	0.0879
c000118	Adigitifer	0.0032	0.0227	0.1410
c000119	Adigitifer	0.0073	0.0289	0.2529
c000120p	Adigitifer	0.0123	0.0435	0.2829
c000128	Adigitifer	0.0060	0.0284	0.2111
c000136m	Adigitifer	0.0028	0.0187	0.1481
c000136p	Adigitifer	0.0034	0.0344	0.0981
c000140	Adigitifer	0.0086	0.0349	0.2456
c000148m	Adigitifer	0.0036	0.0167	0.2144
c000148p	Adigitifer	0.0030	0.0111	0.2699
c000149m	Adigitifer	0.0064	0.0274	0.2325
c000149p	Adigitifer	0.0063	0.0377	0.1669
c000156	Adigitifer	0.0046	0.0199	0.2314
c000158p	Adigitifer	0.0000	0.0097	0.0010
c000160	Adigitifer	0.0056	0.0395	0.1430
c000163	Adigitifer	0.0029	0.0263	0.1103
c000164	Adigitifer	0.0041	0.0268	0.1534
c000166	Adigitifer	0.0047	0.0574	0.0815
c000167	Adigitifer	0.0070	0.0339	0.2055
c000171	Adigitifer	0.0095	0.0316	0.2998
c000174	Adigitifer	0.0015	0.0385	0.0398
c000177	Adigitifer	0.0048	0.0325	0.1487
c000180	Adigitifer	0.0632	0.0930	0.6793
c000181	Adigitifer	0.0081	0.0305	0.2662
c000192	Adigitifer	0.0040	0.0245	0.1644
c000194m	Adigitifer	0.0321	0.0678	0.4734
c000197	Adigitifer	0.0142	0.0290	0.4912
c000198m	Adigitifer	0.0022	0.0255	0.0847
c000200p	Adigitifer	0.0000	0.0319	0.0010
c000202	Adigitifer	0.0044	0.0387	0.1145
c000203	Adigitifer	0.0032	0.0146	0.2226
c000205	Adigitifer	0.0007	0.0648	0.0105
c000206	Adigitifer	0.0100	0.0319	0.3122
c000207	Adigitifer	0.0045	0.0233	0.1915
c000210	Adigitifer	0.0017	0.0423	0.0407
c000214	Adigitifer	0.0042	0.0248	0.1687
c000221	Adigitifer	0.0025	0.0422	0.0597
c000234m	Adigitifer	0.0438	0.0525	0.8343
c000235p	Adigitifer	0.0046	0.0164	0.2806
c000238p	Adigitifer	0.0027	0.0190	0.1425
c000242m	Adigitifer	0.0075	0.0278	0.2699
c000243p	Adigitifer	0.0019	0.0182	0.1031
c000245p	Adigitifer	0.0096	0.0360	0.2657
c000247m	Adigitifer	0.0021	0.0426	0.0489
c000247p	Adigitifer	0.0126	0.0298	0.4219
